pickup_community_area,hour,demand
1,0,1.807
1,1,1.778
1,2,1.924
1,3,2.252
1,4,2.024
1,5,2.426
1,6,5.925
1,7,6.033
1,8,6.483
1,9,7.029
1,10,7.492
1,11,7.049
1,12,6.513
1,13,7.022
1,14,6.984
1,15,6.015
1,16,5.078
1,17,4.107
1,18,3.808
1,19,3.121
1,20,2.936
1,21,2.819
1,22,2.426
1,23,2.193
2,0,1.842
2,1,1.684
2,2,1.46
2,3,1.406
2,4,2.11
2,5,2.781
2,6,4.707
2,7,6.59
2,8,7.868
2,9,8.411
2,10,8.192
2,11,9.554
2,12,9.673
2,13,10.612
2,14,10.282
2,15,9.104
2,16,7.921
2,17,7.318
2,18,5.432
2,19,4.794
2,20,5.152
2,21,3.798
2,22,2.847
2,23,2.186
3,0,3.619
3,1,2.469
3,2,2.011
3,3,1.718
3,4,2.162
3,5,5.14
3,6,8.936
3,7,16.656
3,8,22.375
3,9,24.324
3,10,22.548
3,11,22.232
3,12,21.068
3,13,19.062
3,14,20.289
3,15,17.207
3,16,15.007
3,17,14.951
3,18,13.362
3,19,10.51
3,20,7.293
3,21,6.746
3,22,6.419
3,23,5.099
4,0,1.513
4,1,1.385
4,2,1.314
4,3,1.204
4,4,1.438
4,5,1.668
4,6,2.541
4,7,3.133
4,8,3.723
4,9,3.923
4,10,4.64
4,11,5.102
4,12,5.21
4,13,5.279
4,14,5.506
4,15,5.159
4,16,4.388
4,17,3.414
4,18,3.051
4,19,2.508
4,20,2.526
4,21,2.087
4,22,1.928
4,23,1.681
5,0,1.635
5,1,1.419
5,2,1.252
5,3,1.2
5,4,1.234
5,5,1.91
5,6,2.163
5,7,2.89
5,8,3.344
5,9,2.952
5,10,3.066
5,11,3.229
5,12,3.427
5,13,3.204
5,14,3.151
5,15,2.966
5,16,2.87
5,17,2.726
5,18,2.889
5,19,2.364
5,20,1.94
5,21,1.844
5,22,2.013
5,23,1.819
6,0,9.444
6,1,7.994
6,2,7.179
6,3,5.912
6,4,6.366
6,5,10.894
6,6,23.062
6,7,36.689
6,8,42.305
6,9,39.534
6,10,35.684
6,11,34.718
6,12,35.221
6,13,33.038
6,14,32.503
6,15,32.707
6,16,34.154
6,17,34.793
6,18,33.6
6,19,23.484
6,20,17.196
6,21,17.148
6,22,16.082
6,23,12.565
7,0,6.066
7,1,4.767
7,2,3.821
7,3,2.582
7,4,2.965
