pickup_community_area,hour,demand,assigned_taxis,served_trips,unmet_trips
1,0,1.807,1,1.807,0.0
1,1,1.778,1,1.778,0.0
1,2,1.924,1,1.924,0.0
1,3,2.252,2,2.252,0.0
1,4,2.024,2,2.024,0.0
1,5,2.426,2,2.426,0.0
1,6,5.925,3,5.925,0.0
1,7,6.033,4,6.033,0.0
1,8,6.483,4,6.483,0.0
1,9,7.029,4,7.029,0.0
1,10,7.492,4,7.492,0.0
1,11,7.049,4,7.049,0.0
1,12,6.513,4,6.513,0.0
1,13,7.022,4,7.022,0.0
1,14,6.984,4,6.984,0.0
1,15,6.015,4,6.015,0.0
1,16,5.078,3,5.078,0.0
1,17,4.107,3,4.107,0.0
1,18,3.808,2,3.808,0.0
1,19,3.121,2,3.121,0.0
1,20,2.936,2,2.936,0.0
1,21,2.819,2,2.819,0.0
1,22,2.426,2,2.426,0.0
1,23,2.193,2,2.193,0.0
2,0,1.842,1,1.842,0.0
2,1,1.684,1,1.684,0.0
2,2,1.46,1,1.46,0.0
2,3,1.406,1,1.406,0.0
2,4,2.11,2,2.11,0.0
2,5,2.781,2,2.781,0.0
2,6,4.707,3,4.707,0.0
2,7,6.59,4,6.59,0.0
2,8,7.868,4,7.868,0.0
2,9,8.411,5,8.411,0.0
2,10,8.192,5,8.192,0.0
2,11,9.554,5,9.554,0.0
2,12,9.673,5,9.673,0.0
2,13,10.612,6,10.612,0.0
2,14,10.282,6,10.282,0.0
2,15,9.104,5,9.104,0.0
2,16,7.921,4,7.921,0.0
2,17,7.318,4,7.318,0.0
2,18,5.432,3,5.432,0.0
2,19,4.794,3,4.794,0.0
2,20,5.152,3,5.152,0.0
2,21,3.798,2,3.798,0.0
2,22,2.847,2,2.847,0.0
2,23,2.186,2,2.186,0.0
3,0,3.619,2,3.619,0.0
3,1,2.469,2,2.469,0.0
3,2,2.011,2,2.011,0.0
3,3,1.718,1,1.718,0.0
3,4,2.162,2,2.162,0.0
3,5,5.14,3,5.14,0.0
3,6,8.936,5,8.936,0.0
3,7,16.656,9,16.656,0.0
3,8,22.375,12,22.375,0.0
3,9,24.324,13,24.324,0.0
3,10,22.548,12,22.548,0.0
3,11,22.232,12,22.232,0.0
3,12,21.068,11,21.068,0.0
3,13,19.062,10,19.062,0.0
3,14,20.289,11,20.289,0.0
3,15,17.207,9,17.207,0.0
3,16,15.007,8,15.007,0.0
3,17,14.951,8,14.951,0.0
3,18,13.362,7,13.362,0.0
3,19,10.51,6,10.51,0.0
3,20,7.293,4,7.293,0.0
3,21,6.746,4,6.746,0.0
3,22,6.419,4,6.419,0.0
3,23,5.099,3,5.099,0.0
4,0,1.513,1,1.513,0.0
4,1,1.385,1,1.385,0.0
4,2,1.314,1,1.314,0.0
4,3,1.204,1,1.204,0.0
4,4,1.438,1,1.438,0.0
4,5,1.668,1,1.668,0.0
4,6,2.541,2,2.541,0.0
4,7,3.133,2,3.133,0.0
4,8,3.723,2,3.723,0.0
4,9,3.923,2,3.923,0.0
4,10,4.64,3,4.64,0.0
4,11,5.102,3,5.102,0.0
4,12,5.21,3,5.21,0.0
4,13,5.279,3,5.279,0.0
4,14,5.506,3,5.506,0.0
4,15,5.159,3,5.159,0.0
4,16,4.388,3,4.388,0.0
4,17,3.414,2,3.414,0.0
4,18,3.051,2,3.051,0.0
4,19,2.508,2,2.508,0.0
4,20,2.526,2,2.526,0.0
4,21,2.087,2,2.087,0.0
4,22,1.928,1,1.928,0.0
4,23,1.681,1,1.681,0.0
5,0,1.635,1,1.635,0.0
5,1,1.419,1,1.419,0.0
5,2,1.252,1,1.252,0.0
5,3,1.2,1,1.2,0.0
5,4,1.234,1,1.234,0.0
5,5,1.91,1,1.91,0.0
5,6,2.163,2,2.163,0.0
5,7,2.89,2,2.89,0.0
5,8,3.344,2,3.344,0.0
5,9,2.952,2,2.952,0.0
5,10,3.066,2,3.066,0.0
5,11,3.229,2,3.229,0.0
5,12,3.427,2,3.427,0.0
5,13,3.204,2,3.204,0.0
5,14,3.151,2,3.151,0.0
5,15,2.966,2,2.966,0.0
5,16,2.87,2,2.87,0.0
5,17,2.726,2,2.726,0.0
5,18,2.889,2,2.889,0.0
5,19,2.364,2,2.364,0.0
5,20,1.94,1,1.94,0.0
5,21,1.844,1,1.844,0.0
5,22,2.013,2,2.013,0.0
5,23,1.819,1,1.819,0.0
6,0,9.444,5,9.444,0.0
6,1,7.994,4,7.994,0.0
6,2,7.179,4,7.179,0.0
6,3,5.912,3,5.912,0.0
6,4,6.366,4,6.366,0.0
6,5,10.894,6,10.894,0.0
6,6,23.062,12,23.062,0.0
6,7,36.689,19,36.689,0.0
6,8,42.305,22,42.305,0.0
6,9,39.534,20,39.534,0.0
6,10,35.684,18,35.684,0.0
6,11,34.718,18,34.718,0.0
6,12,35.221,18,35.221,0.0
6,13,33.038,17,33.038,0.0
6,14,32.503,17,32.503,0.0
6,15,32.707,17,32.707,0.0
6,16,34.154,18,34.154,0.0
6,17,34.793,18,34.793,0.0
6,18,33.6,17,33.6,0.0
6,19,23.484,12,23.484,0.0
6,20,17.196,9,17.196,0.0
6,21,17.148,9,17.148,0.0
6,22,16.082,9,16.082,0.0
6,23,12.565,7,12.565,0.0
7,0,6.066,4,6.066,0.0
7,1,4.767,3,4.767,0.0
7,2,3.821,2,3.821,0.0
7,3,2.582,2,2.582,0.0
7,4,2.965,2,2.965,0.0
7,5,6.484,4,6.484,0.0
7,6,13.562,7,13.562,0.0
7,7,20.696,11,20.696,0.0
7,8,22.069,12,22.069,0.0
7,9,22.519,12,22.519,0.0
7,10,20.803,11,20.803,0.0
7,11,21.618,11,21.618,0.0
7,12,22.823,12,22.823,0.0
7,13,21.744,11,21.744,0.0
7,14,20.903,11,20.903,0.0
7,15,21.139,11,21.139,0.0
7,16,23.775,12,23.775,0.0
7,17,26.208,14,26.208,0.0
7,18,25.773,13,25.773,0.0
7,19,18.755,10,18.755,0.0
7,20,13.244,7,13.244,0.0
7,21,14.031,8,14.031,0.0
7,22,12.059,7,12.059,0.0
7,23,8.236,5,8.236,0.0
8,0,51.962,26,51.962,0.0
8,1,35.843,18,35.843,0.0
8,2,27.361,14,27.361,0.0
8,3,23.505,12,23.505,0.0
8,4,24.461,13,24.461,0.0
8,5,33.828,17,33.828,0.0
8,6,66.466,34,66.466,0.0
8,7,124.59,63,124.59,0.0
8,8,182.711,92,182.711,0.0
8,9,197.837,99,197.837,0.0
8,10,213.804,107,213.804,0.0
8,11,239.852,120,239.852,0.0
8,12,251.795,126,251.795,0.0
8,13,249.413,125,249.413,0.0
8,14,255.229,128,255.229,0.0
8,15,272.856,137,272.856,0.0
8,16,289.377,145,289.377,0.0
8,17,290.446,146,290.446,0.0
8,18,271.636,136,271.636,0.0
8,19,213.702,107,213.702,0.0
8,20,156.197,79,156.197,0.0
8,21,131.846,66,131.846,0.0
8,22,106.547,54,106.547,0.0
8,23,76.786,39,76.786,0.0
9,0,1.057,1,1.057,0.0
9,1,1.0,1,1.0,0.0
9,2,1.077,1,1.077,0.0
